Cryptocurrency Name,Symbol,Current Price (USD),Market Cap,24h Trading Volume,24h Price Change (%)
Bitcoin,btc,93727.0,1855845941732,49726620084,-1.35489
Ethereum,eth,3385.49,407790779411,31194867734,3.21146
Tether,usdt,0.998481,139466854541,68156464087,-0.16454
XRP,xrp,2.23,127682374284,7169754719,2.59194
BNB,bnb,687.27,100259001347,1747089689,4.10809
Solana,sol,189.67,90993029218,5168292593,4.47361
Dogecoin,doge,0.318487,46941625096,3762479221,2.26281
USDC,usdc,0.999037,43055302365,11472312567,-0.13407
Lido Staked Ether,steth,3380.01,32750899583,123259824,3.04502
Cardano,ada,0.895532,32103048020,1216895829,1.6475
TRON,trx,0.250814,21631533944,1246997339,2.1037
Avalanche,avax,38.33,15743881794,669702110,6.20586
Chainlink,link,23.79,15019434528,1780698114,5.82034
Toncoin,ton,5.6,14293832589,274406916,3.81222
Wrapped stETH,wsteth,4036.77,14103197652,104424021,3.37292
Sui,sui,4.61,13495617671,2296212414,8.34506
Shiba Inu,shib,2.218e-05,13081391372,615125764,3.62487
Wrapped Bitcoin,wbtc,93662.0,12433525695,397610496,-1.37398
Hedera,hbar,0.294516,11281134187,1222636302,11.83472
Stellar,xlm,0.367179,11126874806,384918507,3.91077
Polkadot,dot,7.19,10950083306,488040704,4.9684
Hyperliquid,hype,29.02,9675227120,504511278,10.69995
WETH,weth,3385.7,9193755544,636593121,3.03619
Bitcoin Cash,bch,453.94,8998569437,319344799,3.22608
LEO Token,leo,9.4,8702034715,1576741,0.37755
Uniswap,uni,13.82,8301689492,766059561,0.57053
Litecoin,ltc,105.16,7927658194,809689292,3.03822
Pepe,pepe,1.806e-05,7601219290,2083563060,2.58016
Wrapped eETH,weeth,3573.86,6742933949,20203577,3.06817
NEAR Protocol,near,5.38,6560843720,857459749,6.8679
Bitget Token,bgb,4.65,6542866997,203462595,13.45268
Ethena USDe,usde,0.996962,5900650806,121713465,-0.24537
Aave,aave,377.69,5673958666,1623102949,17.39203
USDS,usds,0.995759,5231090955,16063537,-0.03202
Aptos,apt,9.39,5229572584,554236813,3.15068
Internet Computer,icp,10.62,5072466627,227558649,6.88922
Cronos,cro,0.159158,4321948390,34517981,3.99427
POL (ex-MATIC),pol,0.499599,4199365798,187828888,5.80978
Ethereum Classic,etc,26.89,4026500015,200690764,3.12406
Mantle,mnt,1.19,4002681959,153778466,2.21522
Render,render,7.64,3961294067,197551685,9.37876
VeChain,vet,0.04726714,3829721273,90957546,3.92127
Bittensor,tao,490.33,3621339818,176265538,8.35708
MANTRA,om,3.73,3544458970,62855540,2.73042
Artificial Superintelligence Alliance,fet,1.34,3509823408,414339650,6.51323
WhiteBIT Coin,wbt,24.32,3500629361,43383423,-0.40557
Monero,xmr,187.26,3452306278,70403206,0.27198
Dai,dai,0.999215,3394865610,71984645,-0.14377
Arbitrum,arb,0.790671,3329784697,577304590,5.66602
Filecoin,fil,5.11,3136727401,392273483,5.17173
